ASIGNATURA,TEMA O CONCEPTO,SOLO,BLOOM,TEMA_CLASIFICADO,APRENDIZAJE_ASIGNATURA
INGENIERÍA WEB,Revisión UML: Casos de Uso,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA WEB,Modelamiento de datos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA WEB,Conexión de la Base de datos,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
INGENIERÍA WEB,Uso de la Norma IEEE 830,Preestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA WEB,Revisión mecanismo de validación de formularios del proyecto integrador,Relacional,Analizar,Proyecto Integrador,Aplica el proceso de análisis de datos a dataset para extraer patrones y características relevantes que permitan desarrollar soluciones IA a problemas específicos.
INGENIERÍA WEB,Verificación de ajuste a los Casos de Uso,Abstracto Extendido,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ARQUITECTURA DE SOFTWARE,MODELO DE ARQUITECTURA,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA DE SOFTWARE,REVISION OBJETIVOS,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA WEB,Revisión proyecto de integrador,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA WEB,Revisión manual técnico del proyecto de aula,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Proyectos de estocástico,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,proyecto de clase,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Proyecto de clase,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Diapositivas proyecto,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,DFS,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,PREGUNTAS QUIZ,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ANÁLISIS Y DISEÑO DE ALGORITMOS,TALLER,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ANÁLISIS Y DISEÑO DE ALGORITMOS,Preguntas taller,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ANÁLISIS Y DISEÑO DE ALGORITMOS,NOTACIÓN ASINTÓTICA,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,PREGUNTAS TALLER,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Proyecto Estocásticos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Dudas del tema Newton Raphson,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Dudas sobre tema EMV,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Dudas taller,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Dudas ejercicio clase,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Dudas tema clase,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Dudas tema EMV,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
INGENIERÍA WEB,Diagrama de secuencia,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA WEB,Configuración de la Base de Datos,Uniestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
INGENIERÍA WEB,Diagramas de secuencia y DJango con Firebase,Multiestructural,Analizar,Programación JavaScript,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA WEB,Revisión proyecto de integrador - app web,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA WEB,Revisión Manual técnico APP WEB,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA WEB,Utilización de herramienta de control de código desde visual studio,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA WEB,Identificación de la llave primaria para insertar datos relacionados en firebase,Uniestructural,Aplicar,Investigación,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
INGENIERÍA WEB,Update y Delete con FireBase desde Python,Uniestructural,Recordar,Programación Python,Recordar Estrategias de Codificación Efectiva y Eficiente
ANÁLISIS Y DISEÑO DE ALGORITMOS,Dudas clase,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ANÁLISIS Y DISEÑO DE ALGORITMOS,Ecuaciones de recurrencia,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA WEB,Proyecto de Clase,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Institucionalización de anteproyectos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Analítica de textos largos en depresión,Relacional,Analizar,Programación Java,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Creación subgrupo gitlab,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,coniiti App,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,android studio,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
INGENIERÍA DE SOFTWARE,Proyecto de Curso,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,proyecto algoritmos,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Dudas ejercicio clase,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Dudas tema clase,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ANÁLISIS Y DISEÑO DE ALGORITMOS,Dudas tema clase,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,PROYECTO FINAL DE LA MATERIA,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,PROYECTO MATERIA,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
